sentence_id;sentence;relation-type
38;1;He won the Gold Medal of the Royal Astronomical Society in 1892, and also later served as president of that organization.;AWARD
41;1;Dole was twice decorated for heroic achievement, receiving two Purple Hearts for his injuries, and the Bronze Star Medal for his attempt to assist a downed radio man.;AWARD
50;2;President Clinton awarded him the Presidential Medal of Freedom in early 1997 for his service in the military and his political career.;AWARD
123;5;The book was awarded the 1957 Pulitzer Prize for Biography.;AWARD
4;2;The Foundation has grown immensely and, by 1950, had become national and international in scope.;CONTROL
124;1;Kennedy's other decorations of the Second World War include the Purple Heart, Asiatic-Pacific Campaign Medal, and the World War II Victory Medal.;AWARD
138;1;"Sir Andrew Fielding Huxley, OM, FRS (born 22 November 1917, Hampstead, London, England, UK) is a British physiologist and biophysicist, who won the 1963 Nobel Prize in Physiology or Medicine for his work with Alan Lloyd Hodgkin on the basis of nerve ""action potentials,"" the electrical impulses that enable the activity of an organism to be coordinated by a central nervous system.";AWARD
147;1;He was twice nominated for an Academy Award for Best Supporting Actor, the first for his role in the 1943 film, Sahara then for his performance in the 1945 film, A Medal for Benny for which he won the Golden Globe Award for Best Supporting Actor - Motion Picture.;AWARD
154;1;In recognition of his work with electricity, Franklin was elected a Fellow of the Royal Society and received its Copley Medal in 1753.;AWARD
180;3;"In 1991 he was awarded the Presidential Medal of Freedom for ""preserving America's defenses at a time of great change around the world.""";AWARD
8;2;His support abated as the United States entered WWII.;CONTROL
245;1;PFC Fernando Luis Garcia (October 14, 1929 - September 5, 1952), born in Utuado, Puerto Rico, was a member of the United States Marines and the first Puerto Rican who was awarded the Medal of Honor.;AWARD
273;1;Received the Presidential Medal of Freedom in 1977.;AWARD
294;3;Confidential (1997) for which she received an Academy Award for Best Supporting Actress.;AWARD
298;1;In 1968, 6 years after her death, she was honored, as the former president of United Nations Commission on Human Rights, by a posthume Nobel Peace Prize, along with Rene Cassin, president of the European Court of Human Rights, for their work in drafting and promoting the adoption and proclamation the 1948 Universal Declaration of Human Rights.;AWARD
298;2;The same year, they were each awarded by one of the UN's own Human Rights Prizes.;AWARD
317;2;He won a Nobel Prize in Chemistry in 1928.;AWARD
10;1;On May 26, 1943, Edsel Ford died, leaving a vacancy in the company presidency.;CONTROL
318;3;"He was awarded the 1921 Nobel Prize for Physics for his explanation of the photoelectric effect in 1905 (his ""miracle year"") and ""for his services to Theoretical Physics"".";AWARD
335;1;The Reverend Martin Luther King, Jr. Ph.D., Boston University (January 15, 1929 - April 4, 1968) was an American Nobel Laureate, Baptist minister, and African American civil rights activist.;AWARD
335;4;He also was awarded the Presidential Medal of Freedom.;AWARD
355;1;In 1971, Coppola won an Academy Award for his screenplay for Patton.;AWARD
355;2;However, his name as a filmmaker was made as the co-writer and director of The Godfather (1972) and The Godfather Part II (1974), which both won the Academy Award for Best Picture - the latter being the first sequel to do so.;AWARD
357;6;While The Godfather Part II won the Oscar, The Conversation won the 1974 Palme d'Or at the Cannes Film Festival.;AWARD
11;5;This led to his being hired by Westinghouse company to service their steam engines.;CONTROL
407;1;Clinton received a B.S.F.S. degree from the Edmund A. Walsh School of Foreign Service at Georgetown University in Washington DC, where he became a brother of Alpha Phi Omega, worked for Senator J. William Fulbright, was elected to Phi Beta Kappa and won a Rhodes Scholarship to the University of Oxford (at the University College, Oxford) in England.;AWARD
418;1;He won the Gold Medal of the Royal Astronomical Society in 1841.;AWARD
419;2;There he published tables of atmospheric refraction based on Bradley's observations, which won him the Lalande Prize from the Institut de France.;AWARD
422;1;In 1923 he was awarded the inaugural Bucher Memorial Prize by the American Mathematical Society.;AWARD
432;2;She was nominated for the Academy Award for Best Supporting Actress for The Godfather, Part II and for the Best Actress in a Leading Role for Rocky.;AWARD
435;2;Lift, the mother of Danny DeVito's character in her Academy Award nominated performance in Throw Momma from the Train.;AWARD
17;1;He has also made notable appearances on television.;CONTROL
480;1;Edric Frederick Gifford, 3rd Baron Gifford, VC (5 July 1849 - 5 June 1911) was an English recipient of the Victoria Cross, the highest and most prestigious award for gallantry in the face of the enemy that can be awarded to British and Commonwealth forces.;AWARD
520;2;As a soldier, he led a famous cavalry charge in the Battle of San Juan Hill in 1898 for which he was posthumously awarded the Congressional Medal of Honor in 2001 by President Bill Clinton, making Roosevelt the only President to have received the award as of 2005.;AWARD
522;1;Roosevelt was also influential in spearheading the construction of the Panama Canal, and for his mediation in the Russo-Japanese War of 1905, he was awarded the Nobel Peace Prize in 1906.;AWARD
522;2;He was the first American to win a Nobel Prize in any category.;AWARD
528;1;Reynolds was nominated for an Academy Award for Best Actress following her performance in The Unsinkable Molly Brown (1964), a Golden Globe for The Debbie Reynolds Show on television (1970), a Golden Globe for the motion picture Mother (1997), and a Blockbuster Entertainment Award for In & Out (1997).;AWARD
528;2;In 1997 she received the Lifetime Achievement Award in Comedy.;AWARD
23;3;Her sister Betty sang in a duo with Rosemary for much of her early career.;CONTROL
535;2;A special military decoration, the Dewey Medal, was also named in his honor.;AWARD
549;2;A screen legend, Hepburn holds the records for the most Oscars (4) and also Best Actress nominations (12).;AWARD
549;3;Hepburn won an Emmy Award in 1975 for her lead role in Love Among the Ruins, and was nominated for four other Emmys and two Tony Awards during the course of her more than 70-year acting career.;AWARD
600;1;He was also a fan of hockey and was inducted into the United States Hockey Hall of Fame in 1993.;AWARD
32;1;Bush served in the French and Indian Wars as a soldier between 1755 and 1757.;CONTROL
638;2;He won directing Emmys for his work on the original 1854 CBS teleplay, Twelve Angry Men.;AWARD
2;1;Because of his father's legacy at Ole Miss, as well as his own status as the most highly recruited high school quarterback of his class, Peyton Manning stunned many when he chose to attend and play for the University of Tennessee.;EDUCATION
9;4;"In 1989, he earned a Juris Doctor (J.D.) degree from New York University Law School.";EDUCATION
25;1;During his stay in prison, he rediscovered the Bible, learned Greek, and became a student of Christian theology at Oxford University.;EDUCATION
26;1;Born in Dublin to William Aitken (himself a Conservative MP) and Penelope Aitken, daughter of John Maffey, 1st Baron Rugby, he attended Eton College and read law at Christ Church, Oxford.;EDUCATION
35;2;He was educated at the Bury St Edmunds grammar school and at Trinity College, Dublin, studied law for a short time after 1624 at the Inner Temple, London, accompanied the ill-fated expedition of the duke of Buckingham for the relief of the Protestants of La Rochelle, and then travelled in Italy and the Levant, returning to England in 1629.;EDUCATION
48;1;Dole graduated from High School in the spring of 1941, and enrolled at the University of Kansas the following Autumn.;EDUCATION
38;4;Three other children had been born to them but had died young.;CONTROL
48;4;After the war, Dole continued to study law, and eventually earned his Law Degree from Washburn University in 1952.;EDUCATION
70;3;from Dartmouth College in 1809 and an A.M. from Dartmouth in 1812.;EDUCATION
45;2;He began to learn mathematics around age twelve.;CONTROL
94;1;Marvin graduated from Woodberry Forest School in 1975, and spent most summers and holidays at the sprawling family estate, the Bush Compound.;EDUCATION
104;3;He was a first round draft pick in 1992, out of Georgia Tech.;EDUCATION
105;1;Jon Barry played his high school basketball at an athletic powerhouse, De La Salle High School in Concord, California before receiving a basketball scholarship to attend Georgia Tech.;EDUCATION
107;2;He graduated from New York University`s College of Arts and Sciences in 1953 and received a scholarship to Harvard Law School.;EDUCATION
114;1;At the age of 17, and having barely passed West Point's height requirement for entrance, Grant received a cadetship to the United States Military Academy at West Point, New York, through his U.S.;EDUCATION
46;2;Einstein's relationship with Mileva developed into romance over the next few years.;CONTROL
117;1;"After Raymond graduated from high school, he enrolled in the ""1Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".";EDUCATION
136;1;In 1928, Reagan entered Eureka College in Eureka, Illinois, majoring in economics and sociology, and graduating in 1932.;EDUCATION
163;2;"He received an A.B. degree in 1938 and a Juris Doctor (J.D.) degree in 1941, both from Harvard University.";EDUCATION
48;2;He kept his Swiss passport for his whole life.;CONTROL
171;2;He was educated at a religious Imam Hatip school and at Marmara University's faculty of economics and business.;EDUCATION
175;2;He was educated at Marlborough College and, in 1910, he graduated from Trinity College, Cambridge in mathematics.;EDUCATION
181;2;He was elected the Natrona County High School senior class president, represented the school at Boys State, and played halfback on the football team.;EDUCATION
186;1;Following high school, Cheney earned an academic scholarship and attended Yale University in 1959.;EDUCATION
54;3;Since then, Miguel has been cast in many major movies, usually in the role of villain.;CONTROL
187;2;Mrs. Cheney has a BA with highest honors from Colorado College, an MA from The University of Colorado, and a Ph.D from The University of Wisconsin specializing in British literature.;EDUCATION
188;1;He attended the University of Wisconsin-Madison as a doctoral candidate in political science and completed all required coursework as an ABD, but left and entered politics before completing his thesis.;EDUCATION
189;1;Refocusing on academics, Cheney first matriculated to Casper Community College in 1963 and thereafter to the University of Wyoming where he began earning straight A's.;EDUCATION
63;3;He was re-elected several times, and served until 1784.;CONTROL
198;2;He graduated from Princeton University in 1952, and attended Harvard University in 1954-55.;EDUCATION
212;1;Haeck was educated at Trent University in Peterborough and State University of New York at Buffalo in Buffalo, New York.;EDUCATION
222;1;After attending the Douglas School in Columbus and St. George's School in Newport, Rhode Island as well as the famous Stonyhurst College in England (where he designed the boys' golf course still in use today) from 1908 to 1913, Bush entered Yale University.;EDUCATION
241;1;The son of Sir Mortimer Margesson, he grew up in Worcestershire and was educated at Harrow School.;EDUCATION
243;1;Keynes was educated at Oundle School.;EDUCATION
74;3;The boycott lasted for 381 days.;CONTROL
271;5;He graduated from Dartmouth College in 1930, where he was a member of the Psi Upsilon fraternity, the Dartmouth Glee Club, and the Casque & Gauntlet Society.;EDUCATION
290;1;Burroughs attended John Burroughs School in St. Louis, and The Los Alamos Ranch School in New Mexico.;EDUCATION
290;10;Burroughs graduated from Harvard University in 1936.;EDUCATION
291;1;Walter William Rouse Ball (August 14, 1850 - April 4, 1925) was a British mathematician, lawyer and a fellow at Trinity College, Cambridge from 1878 to 1905.;EDUCATION
312;1;In 1902 Geiger began to study physics and mathematics in Erlangen and later attained a doctorate in 1906.;EDUCATION
70;3;She was the fifth of nine children.;CONTROL
312;2;In 1907 he began work with Ernest Rutherford at the University of Manchester.;EDUCATION
319;1;Einstein attended the Luitpold Gymnasium where he received a relatively progressive education.;EDUCATION
326;4;"The family was Jewish (non-observant); Albert attended a Catholic elementary school and, at the insistence of his mother, was given violin lessons.";EDUCATION
337;4;He graduated from Morehouse College with a Bachelor of Arts degree in Sociology in 1948.;EDUCATION
31;2;Elliot and Fokker were able to receive such a large commission because Elliot had close connections to the U.S. Export-Import Bank through his father, Franklin Delano Roosevelt.;EMPLOYER
40;1;Dole is currently special counsel at the Washington, D.C., lobbying firm of Aaron Woo.;EMPLOYER
49;2;This has included becoming a television commercial spokesman for such products as Viagra and Pepsi-Cola, and as an occasional political commentator on the popular American interview program Larry King Live.;EMPLOYER
74;1;"Homer works in the Springfield Nuclear Power Plant, in Sector 7G, although ""working"" in this case refers largely to dozing and eating doughnuts.";EMPLOYER
107;4;He was then hired by the legal department of CBS subsidiary Columbia Records.;EMPLOYER
85;3;His ancestor Johann Valentin Pressler emigrated to North America in 1710.;CONTROL
130;1;"His employment by the General Electric company further enhanced his political image; he travelled widely as a GE spokesman, and was noted for his anti-Communist speeches.";EMPLOYER
175;3;No doubt, his family connections helped him to secure an immediate post-graduate position at the Victoria University of Manchester, working under Ernest Rutherford and Niels Bohr on Rutherford's atomic theory.;EMPLOYER
198;4;He joined the Foreign Service, working for the State Department from 1956 until 1969.;EMPLOYER
89;1;He was born into a family of Swedish nobility.;CONTROL
209;6;Prior to the war, Lawford had a gained a contract position with the MGM studios.;EMPLOYER
212;2;She worked as a librarian at the Fort Erie Public Library from 1974 to 1977, and was head of Special Collections at the St. Catharines Public Library from 1977 to 1990.;EMPLOYER
213;2;Senator from Connecticut and a Wall Street executive banker with Brown Brothers Harriman.;EMPLOYER
215;1;His father-in-law, George Herbert Walker, and Walker's partner, Averell Harriman, brought him on as an officer in their investment banking firm, W. A. Harriman and Company in 1926.;EMPLOYER
215;2;When it merged with Brown Brothers in 1931, he became a partner in the new firm of Brown Brothers Harriman.;EMPLOYER
97;3;Despite his father's opposition to him having a foreign-born wife, Adams wed Louisa Johnson in 1797.;CONTROL
218;4;In 1925, he joined the United States Rubber Company (based in New York City) as manager of the foreign division, and moved to Greenwich, Connecticut.;EMPLOYER
220;1;As a managing partner of Brown Brothers Harriman, he sat on several corporate boards, including the following:;EMPLOYER
247;2;He moved to San Juan where he started to work for the Texas Company as a file clerk.;EMPLOYER
385;2;He later earned a Ph.D. in economics from the University of Virginia.;EMPLOYER
97;4;The couple named one of their sons after George Washington.;CONTROL
385;3;Snow graduated with a law degree from the George Washington University in 1967 and then taught economics at the University of Maryland, University of Virginia, as well as law at George Washington.;EMPLOYER
385;4;He also served as a Visiting Fellow at the American Enterprise Institute in 1977 and a Distinguished Fellow at the Yale School of Management from 1978 until 1980.;EMPLOYER
397;1;In 1974, his first year as a University of Arkansas law professor, Clinton ran for the House of Representatives.;EMPLOYER
417;1;Bessel was the son of a civil servant, and at the age of 14 he was apprenticed to the import-export concern Kulenkamp.;EMPLOYER
420;2;Within two years he had left Kulenkamp and become an assistant at Lilienthal Observatory near Bremen, Germany.;EMPLOYER
113;2;He had an elder brother named Emmet Olson.;CONTROL
424;1;Nicholas Clooney (born January 13, 1934) is an American television anchorman, game show and American Movie Classics host, as well as a politician from the state of Kentucky.;EMPLOYER
426;1;After his loss, he went back to writing a column for The Cincinnati Post three times a week that has a wide range of topics.;EMPLOYER
428;2;In 1974, he gained his first national fame by hosting the short-lived ABC daytime game show Money Maze.;EMPLOYER
428;3;He then returned to local and syndicated radio and television in Cincinnati, including a stint as news anchor for WKRC-TV.;EMPLOYER
140;2;By 1936 he had grown bored with Hollywood, and abandoned his film career.;CONTROL
433;1;Ruth Jayne Lawrence (born August 2, 1971) is an Associate Professor of mathematics at the Einstein Institute of Mathematics, Hebrew University of Jerusalem, and a researcher in knot theory and algebraic topology.;EMPLOYER
462;1;Ricky Byrdsong (June 24, 1956 - July 2, 1999) was a former Northwestern University basketball coach.;EMPLOYER
140;5;He spent the remainder of his life in private pursuits, such as writing and painting.;CONTROL
462;3;He had also been head coach at the University of Arizona and assistant coach at Eastern Illinois University, Western Michigan University and Iowa State University, his alma mater.;EMPLOYER
503;1;He went to school at Marlborough College, and went to Balliol College, Oxford University, and was president of the Oxford Union and editor of Isis.;EMPLOYER
529;1;Reynolds then signed with Metro-Goldwyn-Mayer and was cast in Three Little Words which starred Fred Astaire and Red Skelton.;EMPLOYER
532;2;In 1948 she won the Miss Burbank Beauty Contest which resulted in a motion picture contract with Warner Bros.;EMPLOYER
155;3;He published several poetry collections in the 1930s before starting to write for the stage.;CONTROL
561;2;Eventually, the band settled on Chad Channing, with whom the band recorded the album Bleach, released on Sub Pop Records in 1989.;EMPLOYER
596;1;In 1876, Meyer became the first Professor of Chemistry at the University of Tuebingen, where he served until his death there.;EMPLOYER
638;1;Returning home after the war, he found work in the television industry with March of Time and then joined the CBS network.;EMPLOYER
638;2;He won directing Emmys for his work on the original 1854 CBS teleplay, Twelve Angry Men.;EMPLOYER
168;3;He and his wife had seven children.;CONTROL
674;1;She was a TV news reporter for NBC's Dateline NBC from 1989 until 2004.;EMPLOYER
674;5;Her broadcast journalism career started with KYW-TV in Philadelphia, Pennsylvania.;EMPLOYER
106;1;Clive Jay Davis (born April 4, 1934) is the founder of Arista Records, and member of the Rock and Roll Hall of Fame as a nonperformer.;FOUNDER
108;1;In 1974, he founded Arista Records, naming it after his secondary school honor society.;FOUNDER
227;1;Henry Ford (July 30, 1863 - April 7, 1947) was the founder of the Henry Ford Motor Company which later became Cadillac and Ford Motor Company.;FOUNDER
228;1;Henry Ford, with eleven other investors and $28,000 in capital, incorporated the Ford Motor Company in 1903.;FOUNDER
230;1;Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.;FOUNDER
173;4;Ball however was elected to the Senate for the same seat in 1942.;CONTROL
231;1;After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.;FOUNDER
231;4;With his interest in race cars, he formed a second company, the Henry Ford Company.;FOUNDER
261;1;John Davison Rockefeller (July 8, 1839 - May 23, 1937) was an American capitalist most known for his role in the early petroleum industry and the founding of Standard Oil (ExxonMobil is the largest of its descendants).;FOUNDER
262;5;He founded the University of Chicago in 1890, the Rockefeller Institute for Medical Research (now Rockefeller University) in New York City in 1901, the General Education Board in 1902, the Rockefeller Foundation in 1913, and the Laura Spelman Rockefeller Memorial in 1918, as well as giving large gifts to other institutions.;FOUNDER
262;6;His gift of $5 million dollars helped found the Great Smoky Mountains National Park.;FOUNDER
180;4;It was published in 1950 and earned him some respect as a writer.;CONTROL
268;3;In 1870 the two Rockefellers, Andrews, Flagler, and a silent partner, Stephen V. Harkness, formed the Standard Oil Company, with John D. Rockefeller as president.;FOUNDER
279;2;After a two-day trial she was banished as a heretic in 1638 and led 60 followers to settle Aquidneck Island in what later became Rhode Island.;FOUNDER
279;3;They founded the town of Portsmouth, Rhode Island.;FOUNDER
289;2;His grandfather, also named William Seward Burroughs, founded the Burroughs Adding Machine company, which evolved into the Burroughs Corporation.;FOUNDER
181;4;Jack didn't start to learn English until the age of six.;CONTROL
298;1;In 1968, 6 years after her death, she was honored, as the former president of United Nations Commission on Human Rights, by a posthume Nobel Peace Prize, along with Rene Cassin, president of the European Court of Human Rights, for their work in drafting and promoting the adoption and proclamation the 1948 Universal Declaration of Human Rights.;FOUNDER
300;1;Mrs. Roosevelt was active in the formations of numerous institutions, most notably the United Nations, United Nations Association and Freedom House.;FOUNDER
300;2;She chaired the committee that drafted and approved the Universal Declaration of Human Rights.;FOUNDER
183;2;Despite leaving the band for an acting career, he still composes music for some films.;CONTROL
336;1;Following the campaign, King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957, a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.;FOUNDER
358;1;In 1997, Coppola founded Zoetrope All-Story, a flashy literary magazine that publishes short stories.;FOUNDER
361;2;In 1988 he was named Minister of the Environment, and in 1990 founded the Green Party Generation Ecologie.;FOUNDER
569;1;Saint Clare of Assisi, born Chiara Offreduccio, (July 16, 1194 - August 11, 1253) was one of the first followers of Francis of Assisi and founded the Order of Poor Ladies to organize the women who chose to take the Franciscan vow of poverty and celibacy.;FOUNDER
571;4;He was a founding member of Arbusto Energy company and served as managing general partner of the Texas Rangers baseball team.;FOUNDER
583;1;Bush began his oil industry career in 1979 when he established Arbusto Energy with Salem bin Laden, an oil and gas exploration company he financed with his education trust fund surplus and money from other investors.;FOUNDER
186;3;He attended secondary school (Volksschule), and learned the trade of a joiner.;CONTROL
593;2;He was a founder of the American Arithmometer Company.;FOUNDER
690;4;In addition to featuring in these epochal moments in jazz, he was instrumental in founding Afro-Cuban jazz.;FOUNDER
691;3;In the 40s, Gillespie led the movement called Afro-Cuban music, bringing Latin and African elements to greater prominence in jazz and even pop music, particularly salsa.;FOUNDER
740;2;In 1867, his brother's company, Rockefeller & Andrews, absorbed this refinery, and in 1870, the company became Standard Oil.;FOUNDER
742;3;Married to Almira Geraldine Goodsell, he built up the National City Bank of New York, and his son William Goodsell Rockefeller and Elsie Stillman, daughter of National City Bank president James Stillman, were the parents of James Stillman Rockefeller.;FOUNDER
756;1;Libby was a founding member of the Project for the New American Century.;FOUNDER
204;3;He was elected to the Bulgarian national assembly in 1913 and 1920.;CONTROL
794;1;He also created the Defense Intelligence Agency and the Defense Supply Agency.;FOUNDER
922;3;He was one of the founder members of the Lunar Society.;FOUNDER
969;1;Bush co-founded the first charter school in the State of Florida: Liberty City Charter School, a grades K-6 elementary school.;FOUNDER
996;2;He was the founder and first president of the Naval War College between 1884 and 1886.;FOUNDER
212;2;Her mother was a Lyman, another very old American family.;CONTROL
1001;1;In 1999 Bush cofounded a educational-software company, Ignite!, which uses multiple intelligence methods to provide varying types of content to appeal to multiple learning styles.;FOUNDER
1;1;Peyton Williams Manning (born March 24, 1976 in New Orleans, Louisiana) is an American football quarterback for the Indianapolis Colts NFL franchise.;JOB_TITLE
16;1;Jose Vicente Ferrer de Otero y Cintron (January 8, 1909 - January 26, 1992), was an actor and film director, born in Santurce, Puerto Rico.;JOB_TITLE
23;1;He became Chief Secretary to the Treasury in 1994, a Cabinet position, but resigned in 1995, to defend himself against accusations that whilst Minister of Defence Procurement he violated ministerial rules by allowing an Arab businessman to pay for his stay in the Ritz Hotel Paris.;JOB_TITLE
28;1;During World War II, he accompanied FDR as a military aide to the Casablanca meeting of 1943 and the subsequent Cairo and Tehran Conferences.;JOB_TITLE
32;1;Sir Henry Edward Bolte (20 May 1908 - 4 January 1990), Australian politician, was the longest serving Premier of the state of Victoria.;JOB_TITLE
34;1;John Winthrop (February 12, 1606-April 5, 1676), generally known as John Winthrop the Younger, was governor of Connecticut.;JOB_TITLE
222;2;They were lovers, and he addressed both poems and surviving letters to her.;CONTROL
37;2;(July 9, 1845 - December 7, 1912) was a British astronomer and mathematician, the second son and fifth child of Charles and Emma Darwin.;JOB_TITLE
39;1;Robert Joseph Dole (born July 22, 1923) is best known as a former Republican United States Senate Majority Leader and Senator from Kansas.;JOB_TITLE
46;2;He became a second lieutenant in the Army's 10th Mountain Division.;JOB_TITLE
227;3;As a child, Hillary was interested in sports, her church, and her school, a public school in Park Ridge.;CONTROL
51;1;John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.;JOB_TITLE
53;1;Brooks Adams (1848 - 1927), was an American historian and a critic of capitalism.;JOB_TITLE
55;1;Elizabeth Rogers (May 18, 1934 - November 6, 2004) was an American actress.;JOB_TITLE
58;1;John Sidney Blythe (February 15, 1882 - May 29, 1942), better known as John Barrymore, became famous as a Shakespearean actor, lauded for his Hamlet.;JOB_TITLE
83;1;John Drew Barrymore, also known as John Barrymore, Jr., (June 4, 1929 - November 29, 2004) was an actor, one of The Barrymores, a family of actors that included his father, John Barrymore, and his father's siblings, his uncle Lionel and his aunt Ethel.;JOB_TITLE
234;3;Kennedy was given the news that his mother's car had been involved in a fatal accident.;CONTROL
87;1;Julius Henry Marx, known as Groucho Marx (October 2, 1890 - August 19, 1977), was an American comedian, working both with his siblings, the Marx Brothers, and on his own.;JOB_TITLE
91;1;Jorge Amado de Faria (August 10, 1912 - August 6, 2001) was a Brazilian writer of the Modernist school.;JOB_TITLE
96;1;John William Coltrane (September 23, 1926 - July 17, 1967) was an American jazz saxophonist and composer.;JOB_TITLE
109;1;Catherine of Braganza (25 November 1638 - 30 November 1705), or Catarina de Bragana was the queen consort of King Charles II of England.;JOB_TITLE
111;1;Ulysses S. Grant (April 27, 1822 - July 23, 1885) was the 18th President of the United States (1869 - 1877).;JOB_TITLE
245;2;He was a prodigy, learning Latin at three, Greek at four, and writing sermons at seven.;CONTROL
111;2;He achieved national fame as a hero of the American Civil War, in which he commanded Union forces as a general, and as general-in-chief (1864 - 1869).;JOB_TITLE
118;1;John Fitzgerald Kennedy (May 29, 1917 - November 22, 1963), often referred to as Jack Kennedy or JFK, was the 35th President of the United States.;JOB_TITLE
119;1;John Fitzgerald Kennedy (May 29, 1917 - November 22, 1963), also known as JFK, was the 35th president of the United States of America.;JOB_TITLE
127;3;He participated in various commands in the Pacific Theater and earned the rank of lieutenant, commanding a patrol torpedo boat or PT boat.;JOB_TITLE
257;2;In this he was assisted by his son, William.;CONTROL
128;1;Ronald Wilson Reagan (February 6, 1911 - June 5, 2004) was the 40th President of the United States (1981 - 1989) and the 33rd Governor of California (1967 - 1975).;JOB_TITLE
128;2;Before entering politics, Reagan was also a broadcaster, film actor, and head of the Screen Actors Guild.;JOB_TITLE
133;3;He remained in Hollywood for the duration of the war, attaining the rank of captain.;JOB_TITLE
263;3;Bush was elected to a second term in the 2004 election.;CONTROL
137;1;"In 1966, he was elected the 33rd Governor of California, defeating two-term incumbent Pat Brown; he was reelected in 1970, defeating Jesse Unruh, but chose not to seek a third term.";JOB_TITLE
140;2;Klaas (born August 23, 1983 in Rockford, Illinois) is an American soccer defensive midfielder, who currently plays for the Seattle Sounders of the USL First Division.;JOB_TITLE
